index,filename,pdf_found,sheets_matched,sheets_updated,row_number,error,timestamp
157,157_User Experience Design Professionals' Perceptions of Generative Artificial Intelligence.pdf,True,True,False,158,,2025-10-15T11:11:05.619100
158,158_A Novel User Emotional Interaction Design Model Using Long and Short-Term Memory Networks and Deep Learning.pdf,True,True,False,159,,2025-10-15T11:11:05.619108
159,159_Will artificial intelligence platforms replace designers in the future analyzing the impact of artificial intelligence platforms on the engineering design industry through color perception.pdf,True,True,False,160,,2025-10-15T11:11:05.619116
161,161_Exploring the Potential of Chatbots.pdf,True,True,False,162,,2025-10-15T11:11:05.619123
162,"162_Designing Age-Inclusive Interfaces Emerging Mobile, Conversational, and Generative AI to Support Interactions across the Life Span.pdf",True,True,False,163,,2025-10-15T11:11:05.619131
163,163_The artistic design of user interaction experience for mobile systems based on context-awareness and machine learning.pdf,True,True,False,164,,2025-10-15T11:11:05.619140
164,164_ITIU Intention Understanding via Interactive Table in Large Language Models.pdf,True,True,False,165,,2025-10-15T11:11:05.619147
165,165_CUI@CHI Mapping Grand Challenges for the Conversational User Interface Community.pdf,True,True,False,166,,2025-10-15T11:11:05.619155
166,166_Combining a Universal OBD-II Module with Deep Learning to Develop an Eco-Driving Analysis System.pdf,True,True,False,167,,2025-10-15T11:11:05.619162
167,167_Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms.pdf,True,True,False,168,,2025-10-15T11:11:05.619169
168,168_Empirical Evidence on Conversational Control of GUI in Semantic Automation.pdf,True,True,False,169,,2025-10-15T11:11:05.619176
170,170_APPLICATION OF AR VIRTUAL IMPLANTATION TECHNOLOGY BASED ON DEEP LEARNING AND EMOTIONAL TECHNOLOGY IN THE CREATION OF INTERACTIVE PICTURE BOOKS.pdf,True,True,False,171,,2025-10-15T11:11:05.619185
171,171_A training and assessment system for human-computer interaction combining fNIRS and eye-tracking data.pdf,True,True,False,172,,2025-10-15T11:11:05.619192
172,172_Beyond Manual Modeling Automating GUI Model Generation Using Design Documents.pdf,True,True,False,173,,2025-10-15T11:11:05.619201
173,173_Exploring the impact of integrated design on employee learning engagement in the ubiquitous learning context A deep learning-based hybrid multistage approach.pdf,True,True,False,174,,2025-10-15T11:11:05.619208
174,174_(Re-)connecting with Nature in Urban Life Engaging with Wildlife via AI-powered Wearables.pdf,True,True,False,175,,2025-10-15T11:11:05.619216
175,175_Society sync - Digitalize society management systems with artificial intelligence technologies.pdf,True,True,False,176,,2025-10-15T11:11:05.619223
176,176_User Feedback Design in AI-Driven Mood Tracker Mobile Apps_(1).pdf,True,True,False,177,,2025-10-15T11:11:05.619231
177,177_Boundary-Aware Supervoxel-Level Iteratively Refined Interactive 3D Image Segmentation With Multi-Agent Reinforcement Learning.pdf,True,True,False,178,,2025-10-15T11:11:05.619240
178,178_AI driven human-computer interaction design framework of virtual environment based on comprehensive semantic data analysis with feature extraction.pdf,True,True,False,179,,2025-10-15T11:11:05.619248
179,179_Conversations in the Cloud Crafting Harmony in AliCloud Computing Interaction Design.pdf,True,True,False,180,,2025-10-15T11:11:05.619255
180,180_Vehicle Multi-sensory User Interaction Design Research Based on MINDS Methods.pdf,True,True,False,181,,2025-10-15T11:11:05.619263
181,181_GANSpiration Balancing Targeted and Serendipitous Inspiration in User Interface Design with Style-Based Generative Adversarial Network.pdf,True,True,False,182,,2025-10-15T11:11:05.619270
182,182_Enhancing Human-AI (H-AI) Collaboration On Design Tasks Using An Interactive TextVoice Artificial Intelligence (AI) Agent.pdf,True,True,False,183,,2025-10-15T11:11:05.619277
183,183_Machine Learning Based User Interface Generation.pdf,True,True,False,184,,2025-10-15T11:11:05.619285
184,184_Interaction Design With Multi-Objective Bayesian Optimization.pdf,True,True,False,185,,2025-10-15T11:11:05.619295
185,185_A Checklist for the Usability Evaluation of Artificial Intelligence (AI) mHealth Applications Graphical User Interface.pdf,True,True,False,186,,2025-10-15T11:11:05.619336
186,186_User emotion recognition and indoor space interaction design a CNN model optimized by multimodal weighted networks.pdf,True,True,False,187,,2025-10-15T11:11:05.619346
187,187_AN EEG-BASED EMOTION RECOGNITION MODEL USING AN INTERACTION DESIGN FRAMEWORK AND DEEP LEARNING.pdf,True,True,False,188,,2025-10-15T11:11:05.619353
189,189_The Application of Deep Learning for the Evaluation of User Interfaces.pdf,True,True,False,190,,2025-10-15T11:11:05.619361
